# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 22 21:37:57 GMT 2022 [seed=1671745062937]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-55841.32975982956	-348.5169737314726	-55492.81278609809	22.81716813259416	1982.1828318674059	58.07815392801836	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-55492.81278609809	0.0	-61.25838696952206
1000	-41677.20156078222	-410.5549097443737	-41266.646651037845	22.815392489575704	1982.1846075104243	97.1694993677375	3.189266284380812	5.496797231112627	0.25905063911060605	0.25399328890256634	0.2511768726270169	0.2357791993598107	0.3829529047515763	0.3043967061621301	0.3043967061621299	-41266.646651037845	0.0	-151.74298153970483
2000	-38118.57340983731	-444.1735010668841	-37674.39990877042	23.55046069063761	1981.4495393093623	149.00642642409412	6.032365144655818	9.804879545375746	0.2659737363173651	0.25598411415609723	0.23435396957414742	0.24368817995239017	0.29970839803024607	0.035168155643289775	0.03516815564328978	-37674.39990877042	0.0	-210.21202498464618
3000	-35202.54370794084	-481.48424654380324	-34721.05946139703	24.285596069149975	1980.71440393085	194.09866256319782	10.807769519264927	9.804879545375746	0.2786428462869068	0.26109462420388174	0.2165743495568212	0.24368817995239017	0.25423244291046426	0.021383593196423	0.02138359319642301	-34721.05946139703	0.0	-249.08442383457668
4000	-34361.146750854525	-504.0436107695926	-33857.10314008493	26.726196768264142	1978.2738032317359	239.9141418525131	21.356211972013398	9.183006735109982	0.30024652269443947	0.24577992013849953	0.2090164915198679	0.24495706564719302	0.29097194803541043	0.014754093955596478	0.014754093955596466	-33857.10314008493	0.0	-272.590579847005
5000	-33069.36165743018	-527.4527886407986	-32541.90886878938	26.951850864142624	1978.0481491358573	282.2454249540819	23.054137191749625	9.183006735109982	0.3095354401955158	0.23104420470506895	0.20201230755930988	0.25740804754010527	0.2554909469867848	0.010925159343782423	0.010925159343782428	-32541.90886878938	0.0	-296.75833334435606
6000	-32325.086118289095	-561.2328692360765	-31763.85324905302	30.06934773190491	1974.9306522680952	373.7772299609515	51.4655857585119	8.832357923146835	0.3229836516391584	0.22353423824208238	0.20727590146581404	0.24620620865294507	0.2785241470650149	0.007889780820032187	0.00788978082003219	-31763.85324905302	0.0	-330.9988751795563
7000	-31921.25141739116	-593.219843158115	-31328.031574233042	32.37343467893283	1972.6265653210671	474.17457641966456	61.31282418485778	8.661951990990307	0.34854178065826674	0.20948862513883768	0.20324985231473386	0.23871974188816156	0.2785241470650149	0.006027388731646831	0.006027388731646825	-31328.031574233042	0.0	-363.3644735814015
8000	-31546.86633590825	-609.3659748053719	-30937.500361102877	33.59718783361577	1971.4028121663841	539.5538921814152	78.27607663457397	8.661951990990307	0.35999882636458674	0.2014378308314815	0.20781093411842838	0.23075240868550323	0.2684563716373006	0.005203341729185195	0.005203341729185196	-30937.500361102877	0.0	-379.7193819585991
9000	-31246.053759416223	-637.414132722197	-30608.639626694025	37.32044676254809	1967.679553237452	669.7951119663333	179.50882562749442	8.661951990990307	0.3697171048176816	0.20389333761665568	0.19793774534281935	0.2284518122228432	0.27173295864609326	0.0038389306477612903	0.00383893064776129	-30608.639626694025	0.0	-408.2573412000812
10000	-31042.939700255072	-655.9417644294595	-30386.997935825613	42.98857675574603	1962.011423244254	819.2382510975842	187.929723201631	8.661951990990307	0.37457987273969334	0.20385426787229635	0.1977447462857935	0.2238211131022166	0.24856367023899975	0.0029956492965952054	0.0029956492965952045	-30386.997935825613	0.0	-427.17317594302546
11000	-30535.55581521739	-669.8590137788894	-29865.696801438502	49.81426476929537	1955.1857352307047	919.5776414307508	201.39402909801908	8.775422370302957	0.3816689142578546	0.19075252923679925	0.20375744340312935	0.2238211131022166	0.25633736118874756	0.0027664941390646686	0.00276649413906467	-29865.696801438502	0.0	-441.0598597160119
12000	-30125.416135870775	-684.3062244480432	-29441.109911422733	51.9867578172605	1953.0132421827395	1051.3486487514747	279.41805849304865	8.775422370302957	0.38107753539192646	0.183826395723837	0.2064617281903917	0.22863434069384464	0.2583167456614831	0.0024303289204403184	0.0024303289204403175	-29441.109911422733	0.0	-455.62372915790195
13000	-30045.148366055306	-688.3785051084249	-29356.769860946883	53.18301323353137	1951.8169867664687	1087.548238292064	299.4633097381371	8.811384520828152	0.39688183262098997	0.19094004838840617	0.1851621895696501	0.22701592942095364	0.25121333582607064	0.0021735565995362484	0.002173556599536248	-29356.769860946883	0.0	-459.9670864472574
14000	-29976.68038523174	-704.5651841424656	-29272.115201089273	60.59671720447959	1944.4032827955205	1262.2754384564048	390.95021294822146	8.811384520828152	0.40150490487775503	0.18092783542962598	0.1905513302716652	0.22701592942095364	0.2576761505996233	0.0018213928052652096	0.00182139280526521	-29272.115201089273	0.0	-476.3684648413276
15000	-29959.338231474583	-704.7160887095743	-29254.62214276501	60.2493331035411	1944.7506668964588	1235.7899008531754	461.62445665893046	8.811384520828152	0.40569544039428207	0.18092783542962598	0.1772322053969114	0.23614451877918038	0.27890838321551675	0.0020018785574024986	0.002001878557402501	-29254.62214276501	0.0	-476.2442579577282
16000	-29912.746272424425	-714.2296185293148	-29198.51665389511	66.46757949761408	1938.532420502386	1393.9630479294347	387.99950032891985	8.859701136064182	0.3948527926066451	0.1875414905715284	0.18927410607343173	0.2283316107483946	0.2788958009952913	0.0018494238070397265	0.001849423807039727	-29198.51665389511	0.0	-485.74391801017356
17000	-29907.393953420087	-721.2537625639962	-29186.14019085609	67.8438742770567	1937.1561257229432	1497.639215670821	420.05627971912975	8.928521260534836	0.3948527926066451	0.1944360814734081	0.18433559929697582	0.2263755266229708	0.25773420314752227	0.001650421983820714	0.001650421983820714	-29186.14019085609	0.0	-492.99586020960254
18000	-29906.028573032374	-720.6920122424683	-29185.336560789907	66.6864894637128	1938.3135105362871	1473.0038303150254	551.9935761034668	8.856673848159465	0.3991521546466153	0.19700224582666334	0.18315759215629454	0.22068800737042668	0.25773420314752227	0.0015204720207608073	0.0015204720207608058	-29185.336560789907	0.0	-492.71310551019366
19000	-29896.29673265894	-728.2086356102009	-29168.088097048738	74.51788302689975	1930.4821169731003	1607.435039749797	636.5206474266578	8.419892348748709	0.39863194534749674	0.19498389089927715	0.18112268917674829	0.22526147457647772	0.2542594795022569	0.0014315271451967179	0.0014315271451967179	-29168.088097048738	0.0	-500.3370473998229
20000	-29888.821292257293	-720.413077748171	-29168.408214509123	69.6692258378751	1935.330774162125	1472.9044668021222	380.32623396482916	8.991741069298397	0.3995749527624585	0.19180506145676637	0.18194723037817434	0.22667275540260065	0.2591582944174388	0.0015948355107026056	0.001594835510702607	-29168.408214509123	0.0	-492.2713849997321
21000	-29868.347086466987	-733.2583427711252	-29135.088743695862	78.17523260054668	1926.8247673994533	1693.236776331486	478.0965439664896	8.693978029954444	0.4104617839534918	0.18264331766018543	0.191816946249391	0.21507795213693168	0.26319119772720073	0.0013654586439278509	0.0013654586439278515	-29135.088743695862	0.0	-505.35201919088905
22000	-29868.19323145586	-737.8829377546009	-29130.31029370126	78.96998830109669	1926.0300116989033	1743.4505160043677	777.3864108857484	8.0777383635515	0.40248522942747705	0.1885844412719767	0.1939299374951244	0.21500039180542174	0.2723710955701463	0.0013221086370311826	0.0013221086370311824	-29130.31029370126	0.0	-510.1225046641214
